year,week,, provinceID, SMN,SMT,VCI,TCI,VHI
2000 01  0.130,275.16, 21.03, 77.55, 49.29
2000 02  0.139,275.66, 29.97, 65.67, 47.82
2000 03  0.149,276.80, 36.23, 57.07, 46.65
2000 04  0.153,277.54, 39.29, 54.27, 46.78
2000 05  0.158,278.21, 42.91, 50.62, 46.77
2000 06  0.167,279.29, 46.48, 46.77, 46.63
2000 07  0.177,280.63, 49.84, 43.18, 46.51
2000 08  0.189,281.73, 52.80, 42.08, 47.44
2000 09  0.194,282.40, 52.76, 45.25, 49.00
2000 10  0.200,283.54, 52.28, 48.77, 50.53
2000 11  0.208,285.21, 51.56, 52.32, 51.94
2000 12  0.215,286.88, 47.72, 56.44, 52.08
2000 13  0.221,288.32, 44.54, 56.14, 50.34
2000 14  0.230,289.50, 42.53, 51.84, 47.18
2000 15  0.243,290.62, 40.56, 44.34, 42.45
2000 16  0.259,291.57, 37.93, 40.55, 39.24
2000 17  0.275,292.29, 35.13, 40.04, 37.59
2000 18  0.297,293.20, 36.10, 41.14, 38.62
2000 19  0.324,294.35, 40.32, 42.39, 41.35
2000 20  0.346,295.49, 43.69, 42.25, 42.97
2000 21  0.369,296.42, 49.72, 41.35, 45.54
2000 22  0.384,297.03, 52.59, 47.12, 49.85
2000 23  0.393,297.77, 53.76, 51.19, 52.48
2000 24  0.396,298.45, 53.49, 54.22, 53.86
2000 25  0.394,298.91, 50.72, 59.22, 54.97
2000 26  0.388,299.31, 47.47, 63.96, 55.72
2000 27  0.382,299.80, 46.92, 67.57, 57.24
2000 28  0.376,300.33, 46.83, 68.29, 57.56
2000 29  0.365,300.51, 44.16, 71.63, 57.90
2000 30  0.345,300.44, 36.98, 74.53, 55.76
2000 31  0.328,300.60, 32.10, 69.95, 51.03
2000 32  0.315,300.91, 30.58, 62.66, 46.62
2000 33  0.295,300.30, 23.98, 61.96, 42.97
2000 34  0.275,299.24, 16.68, 62.04, 39.36
2000 35  0.267,299.10, 16.47, 52.75, 34.61
2000 36  0.264,298.63, 18.77, 48.03, 33.40
2000 37  0.257,297.66, 19.68, 45.20, 32.44
2000 38  0.242,296.23, 16.50, 46.50, 31.50
2000 39  0.231,295.08, 17.20, 46.96, 32.08
2000 40  0.240,294.54, 28.40, 38.95, 33.68
2000 41  0.248,293.33, 37.46, 35.16, 36.31
2000 42  0.253,292.05, 43.41, 33.88, 38.64
2000 43  0.249,290.82, 45.24, 30.93, 38.09
2000 44  0.245,289.71, 47.64, 24.43, 36.03
2000 45  0.232,288.05, 46.80, 28.54, 37.67
2000 46  0.202,285.94, 37.51, 38.34, 37.92
2000 47  0.175,284.64, 30.23, 37.19, 33.71
2000 48  0.156,284.22, 26.27, 30.24, 28.25
2000 49  0.140,283.41, 21.26, 28.92, 25.09
2000 50  0.130,282.43, 18.22, 22.36, 20.29
2000 51  0.130,281.59, 18.99, 28.59, 23.79
2000 52  0.148,281.38, 28.33, 29.46, 28.89
2001 01  0.174,281.19, 45.11, 30.28, 37.69
2001 02  0.187,280.49, 55.82, 32.39, 44.11
2001 03  0.203,280.58, 64.18, 33.44, 48.81
2001 04  0.217,281.54, 71.16, 31.07, 51.11
2001 05  0.231,281.99, 77.35, 30.97, 54.16
2001 06  0.242,281.92, 81.46, 33.64, 57.55
2001 07  0.256,282.79, 84.87, 32.45, 58.66
2001 08  0.266,283.89, 86.48, 31.56, 59.02
2001 09  0.270,284.50, 86.88, 34.68, 60.78
2001 10  0.279,286.11, 88.90, 34.88, 61.89
2001 11  0.288,287.36, 89.47, 39.45, 64.46
2001 12  0.292,288.16, 87.57, 47.07, 67.32
2001 13  0.296,288.62, 85.94, 53.48, 69.71
2001 14  0.296,288.48, 81.04, 60.82, 70.93
2001 15  0.300,288.23, 74.80, 67.63, 71.21
2001 16  0.321,289.73, 77.21, 59.85, 68.53
2001 17  0.338,290.92, 75.51, 53.89, 64.70
2001 18  0.356,292.16, 73.66, 53.48, 63.57
2001 19  0.369,293.01, 69.85, 61.04, 65.44
2001 20  0.384,294.17, 68.95, 62.21, 65.58
2001 21  0.394,294.78, 67.72, 66.68, 67.20
2001 22  0.402,295.99, 65.76, 64.52, 65.14
2001 23  0.412,298.10, 67.68, 47.23, 57.45
2001 24  0.415,299.71, 66.75, 36.04, 51.40
2001 25  0.410,300.75, 61.23, 33.20, 47.21
2001 26  0.403,301.78, 56.94, 30.45, 43.70
2001 27  0.390,302.67, 51.38, 30.40, 40.89
2001 28  0.379,303.53, 48.08, 27.71, 37.90
2001 29  0.370,304.31, 46.62, 25.00, 35.81
2001 30  0.357,304.50, 43.76, 26.49, 35.13
2001 31  0.343,304.43, 40.90, 26.60, 33.75
2001 32  0.331,304.13, 39.73, 27.69, 33.71
2001 33  0.323,303.45, 39.87, 29.09, 34.48
2001 34  0.321,302.61, 42.61, 28.65, 35.63
2001 35  0.321,301.64, 47.86, 27.96, 37.91
2001 36  0.322,300.56, 54.12, 28.47, 41.29
2001 37  0.324,299.60, 60.81, 25.99, 43.40
2001 38  0.324,298.83, 65.45, 21.90, 43.68
2001 39  0.320,297.96, 68.57, 20.16, 44.36
2001 40  0.315,296.81, 70.55, 16.63, 43.59
2001 41  0.309,295.29, 70.44, 15.47, 42.95
2001 42  0.301,293.62, 69.30, 16.60, 42.95
2001 43  0.292,291.54, 68.82, 21.87, 45.34
2001 44  0.281,289.34, 67.92, 28.36, 48.14
2001 45  0.268,287.06, 67.23, 40.85, 54.04
2001 46  0.257,284.86, 68.08, 51.73, 59.91
2001 47  0.246,283.03, 68.63, 54.46, 61.55
2001 48  0.230,281.04, 64.44, 59.35, 61.89
2001 49  0.215,279.21, 59.97, 64.99, 62.48
2001 50  0.205,277.86, 57.39, 65.23, 61.31
2001 51  0.197,277.11, 55.02, 69.17, 62.10
2001 52  0.194,277.07, 54.74, 65.67, 60.21
2002 01  0.196,277.62, 57.06, 59.78, 58.42
2002 02  0.200,279.20, 62.04, 40.03, 51.03
2002 03  0.205,281.13, 64.36, 28.35, 46.35
2002 04  0.210,282.77, 66.89, 23.02, 44.95
2002 05  0.217,284.14, 70.25, 19.43, 44.84
2002 06  0.223,285.31, 72.37, 16.93, 44.65
2002 07  0.230,286.70, 74.01, 13.47, 43.74
2002 08  0.233,287.49, 73.00, 14.11, 43.55
2002 09  0.236,288.04, 71.83, 16.26, 44.04
2002 10  0.242,288.68, 72.57, 20.43, 46.50
2002 11  0.250,289.20, 71.94, 27.53, 49.73
2002 12  0.252,289.08, 67.45, 38.85, 53.15
2002 13  0.255,288.42, 63.45, 54.09, 58.77
2002 14  0.259,287.76, 59.36, 67.53, 63.44
2002 15  0.264,287.11, 52.69, 77.23, 64.96
2002 16  0.269,286.87, 43.80, 83.93, 63.86
2002 17  0.281,287.26, 38.67, 87.39, 63.03
2002 18  0.307,289.20, 41.91, 83.24, 62.58
2002 19  0.332,291.35, 45.80, 78.48, 62.14
2002 20  0.355,293.28, 49.65, 69.76, 59.70
2002 21  0.370,294.30, 50.28, 69.45, 59.86
2002 22  0.382,295.65, 52.00, 66.94, 59.47
2002 23  0.390,297.17, 52.43, 60.19, 56.31
2002 24  0.393,298.67, 51.85, 50.63, 51.24
2002 25  0.388,299.61, 47.32, 49.04, 48.18
2002 26  0.383,300.34, 44.65, 49.85, 47.25
2002 27  0.378,301.13, 43.90, 50.29, 47.10
2002 28  0.369,301.19, 42.17, 57.64, 49.90
2002 29  0.358,300.57, 39.51, 71.26, 55.38
2002 30  0.353,300.10, 41.64, 78.83, 60.24
2002 31  0.351,299.63, 46.16, 81.11, 63.64
2002 32  0.343,298.49, 46.87, 88.40, 67.64
2002 33  0.332,296.89, 45.11, 96.09, 70.60
2002 34  0.324,295.31, 43.67, 98.72, 71.19
2002 35  0.317,294.01, 44.51, 99.29, 71.90
2002 36  0.316,293.17, 49.49, 98.92, 74.21
2002 37  0.311,291.86, 51.43, 98.83, 75.13
2002 38  0.312,290.52, 56.57, 98.52, 77.55
2002 39  0.313,289.57, 61.97, 97.38, 79.68
2002 40  0.319,289.17, 71.40, 92.59, 82.00
2002 41  0.322,288.52, 76.58, 86.19, 81.38
2002 42  0.321,287.67, 79.45, 86.31, 82.88
2002 43  0.321,287.25, 83.73, 78.30, 81.02
2002 44  0.322,287.43, 90.12, 54.09, 72.10
2002 45  0.307,286.39, 89.22, 49.23, 69.23
2002 46  0.289,285.27, 85.87, 45.91, 65.89
2002 47  0.273,284.00, 83.68, 42.46, 63.07
2002 48  0.260,282.63, 81.25, 42.90, 62.07
2002 49  0.248,281.00, 78.52, 47.28, 62.90
2002 50  0.230,278.93, 72.33, 50.21, 61.27
2002 51  0.219,277.48, 67.99, 60.44, 64.21
2002 52  0.214,276.98, 66.64, 61.21, 63.92
2003 01  0.212,276.73, 67.82, 60.82, 64.32
2003 02  0.210,276.60, 68.33, 53.03, 60.68
2003 03  0.204,276.02, 65.36, 55.31, 60.33
2003 04  0.203,275.92, 64.23, 56.14, 60.19
2003 05  0.208,276.59, 66.31, 51.69, 59.00
2003 06  0.210,277.47, 66.46, 48.62, 57.54
2003 07  0.214,278.92, 66.14, 45.18, 55.66
2003 08  0.223,281.34, 67.94, 39.11, 53.53
2003 09  0.235,284.25, 71.02, 31.83, 51.43
2003 10  0.243,286.59, 72.34, 28.98, 50.66
2003 11  0.248,288.13, 70.60, 31.36, 50.98
2003 12  0.253,289.55, 67.37, 32.68, 50.02
2003 13  0.257,290.93, 64.53, 28.73, 46.63
2003 14  0.261,291.97, 60.68, 22.72, 41.70
2003 15  0.272,293.28, 58.32, 14.09, 36.20
2003 16  0.290,294.70, 57.69,  8.95, 33.32
2003 17  0.314,296.01, 60.47,  6.25, 33.36
2003 18  0.338,297.08, 62.29,  5.47, 33.88
2003 19  0.353,297.80, 59.83,  6.59, 33.21
2003 20  0.363,297.95, 55.01, 12.40, 33.70
2003 21  0.370,298.28, 50.98, 17.80, 34.39
2003 22  0.376,298.90, 47.86, 21.01, 34.44
2003 23  0.382,299.60, 47.62, 23.59, 35.61
2003 24  0.390,300.55, 49.81, 24.19, 37.00
2003 25  0.396,301.53, 52.46, 23.51, 37.98
2003 26  0.397,302.39, 53.78, 23.61, 38.69
2003 27  0.390,302.76, 51.93, 29.03, 40.48
2003 28  0.382,303.20, 50.78, 31.14, 40.96
2003 29  0.374,303.89, 50.34, 29.34, 39.84
2003 30  0.362,304.14, 47.40, 29.93, 38.66
2003 31  0.349,304.26, 44.87, 27.85, 36.36
2003 32  0.339,304.35, 45.07, 24.50, 34.78
2003 33  0.330,303.88, 44.29, 23.56, 33.93
2003 34  0.326,303.12, 45.52, 22.87, 34.20
2003 35  0.319,301.68, 46.02, 26.65, 36.34
2003 36  0.316,300.27, 49.65, 30.35, 40.00
2003 37  0.319,299.05, 57.42, 30.44, 43.93
2003 38  0.320,297.30, 63.18, 35.42, 49.30
2003 39  0.322,295.55, 69.57, 41.95, 55.76
2003 40  0.318,293.58, 71.71, 48.52, 60.12
2003 41  0.311,291.17, 71.61, 58.33, 64.97
2003 42  0.303,288.95, 69.86, 71.00, 70.43
2003 43  0.291,287.12, 67.42, 79.52, 73.47
2003 44  0.285,286.07, 69.53, 71.95, 70.74
2003 45  0.284,285.67, 75.84, 57.62, 66.73
2003 46  0.279,284.94, 79.85, 49.56, 64.71
2003 47  0.276,284.11, 84.21, 41.58, 62.89
2003 48  0.266,282.74, 83.68, 42.68, 63.18
2003 49  0.260,281.70, 84.12, 42.32, 63.22
2003 50  0.254,280.77, 84.24, 36.06, 60.15
2003 51  0.244,279.58, 80.91, 44.01, 62.46
2003 52  0.235,278.37, 77.26, 51.45, 64.36
